D507N,大同路站,702 台南市南區大同路二段380號,06-2153503,09:00-19:00(星期一~星期五)、09:00-19:00(星期六)
D509B,育平路站,708 台南市安平區育平路80號,06-2933845,09:00-18:00(星期一~星期五)、09:00-17:00(星期六)
D509G,中油永交站,台南市永康區中正北路319號,06-2436250,09:00-19:00(星期一~星期五)、09:00-19:00(星期六)
D50W6,西拉雅站,744 台南市新市區三舍里三舍239號,06-5899042,09:00-18:00(星期一~星期五)、09:00-17:00(星期六)
D5140,建國二路站,807 高雄市三民區建國二路66號,07-2383484,09:00-17:30(星期一~星期六)
D514A,中正二路站,800 高雄市新興區中正二路166號,07-2241235,09:00-17:30(星期一~星期六)
D514E,鼓山三路站,804 高雄市鼓山區鼓山三路5-1號,07-5612463,09:00-17:30(星期一~星期六)
D514K,建工路站,807 高雄市三民區建工路566號,07-3832928,09:00-17:30(星期一~星期六)
D514M,中正路站,900 屏東縣屏東市中正路375號,08-7364224,09:00-17:30(星期一~星期六)
D5152,潮州站,屏東縣潮州鎮三和里延平路217號,08-7882044,09:00-17:30(星期一~星期六)
D5156,忠孝路站,900 屏東縣屏東市忠孝路209-1號,08-7337759,09:00-17:30(星期一~星期六)
D5164,橋頭站,825 高雄市橋頭區橋頭里成功北路15號,07-6113644,09:00-17:30(星期一~星期六)
D516F,覺民路站,807 高雄市三民區覺民路362號,07-3869992,
D5171,建國一路站,802 高雄市苓雅區建國一路142號,07-7518715,09:00-17:30(星期一~星期六)
D5173,復興路站,900 屏東縣屏東市復興路261號,08-7525421,09:00-17:30(星期一~星期六)
D5175,新埤站,925 屏東縣新埤鄉新埤村新中路74號,08-7971017,09:00-17:30(星期一~星期六)
D6140,港口站,970 花蓮縣花蓮市吉林路2號,03-8228640,09:00-17:00(星期一~星期五、每月單週星期六)
D6141,中華路站,970 花蓮縣花蓮市中華路333號,03-8323424,09:00-17:00(星期一~星期六及國定例假日)
D6151,中山路站,970 花蓮縣花蓮市中山路752號,03-8561117,09:00-17:00(星期一~星期六及國定假日)
D6160,羅東站,268 宜蘭縣五結鄉中正路二段94號,03-9654651,09:00-21:00(星期一~星期五)、09:00-17:00(星期六)
