D4180,豐原,豐原交流道站,2017/10/31,03:00:00,9,453,25.3,52.3,31.3,33.8,60,2.1,0.17,3.5,38,3.2,7.2,0,4,0.5,細懸浮微粒,普通,2017/10/30 13:00
D4144,豐原,豐潭站,2017/10/31,03:00:00,7,416,26.9,49.9,30.7,37.5,60,2.1,0.17,3.5,38,3.2,7.2,0,4,0.5,細懸浮微粒,普通,2017/10/30 13:00
D4146,豐原,梨山站,2017/10/31,03:00:00,0,494,18,42.5,25.1,27.3,60,2.1,0.17,3.5,38,3.2,7.2,0,4,0.5,細懸浮微粒,普通,2017/10/30 13:00
D414Z,二林,社頭站,2017/10/31,04:00:00,16,469,27.5,49.6,33.5,34.6,79,3.9,0.26,9.5,81,6.9,15,0,11,1.5,細懸浮微粒,普通,2017/10/30 13:00
D4160,二林,永靖站,2017/10/31,04:00:00,12,421,27.3,46.7,32.1,35.1,79,3.9,0.26,9.5,81,6.9,15,0,11,1.5,細懸浮微粒,普通,2017/10/30 13:00
D417A,二林,埔心站,2017/10/31,04:00:00,9,424,27.4,48.5,34.3,32.7,79,3.9,0.26,9.5,81,6.9,15,0,11,1.5,細懸浮微粒,普通,2017/10/30 13:00
D4157,二林,溪州站,2017/10/31,04:00:00,8,428,26,52.4,28.9,43.6,79,3.9,0.26,9.5,81,6.9,15,0,11,1.5,細懸浮微粒,普通,2017/10/30 13:00
D416N,二林,埔鹽站,2017/10/31,04:00:00,5,423,24.1,55.9,31.1,37.7,79,3.9,0.26,9.5,81,6.9,15,0,11,1.5,細懸浮微粒,普通,2017/10/30 13:00
D4148,二林,二林站,2017/10/31,04:00:00,4,464,27.8,49.1,31.8,36.5,79,3.9,0.26,9.5,81,6.9,15,0,11,1.5,細懸浮微粒,普通,2017/10/30 13:00
D414N,大里,國姓站,2017/10/31,04:00:00,27,418,23.8,63.2,27.6,49.6,54,1.9,0.25,8,51,3.9,23,0,11,2.9,細懸浮微粒,普通,2017/10/30 13:00
D416M,大里,霧峰林森路站,2017/10/31,04:00:00,16,466,26.6,51.9,32,38,54,1.9,0.25,8,51,3.9,23,0,11,2.9,細懸浮微粒,普通,2017/10/30 13:00
D514Y,大寮,大寮站,2017/10/31,04:00:00,39,415,28.3,50.6,36.6,35.2,91,6.3,0.34,14,82,2.8,230,0,17,2.8,細懸浮微粒,普通,2017/10/30 13:00
D511M,大寮,屏東零售中心,2017/10/31,04:00:00,28,417,26.7,63.5,28.7,55.2,91,6.3,0.34,14,82,2.8,230,0,17,2.8,細懸浮微粒,普通,2017/10/30 13:00
D5178,小港,小港機場加油站,2017/10/31,04:00:00,31,411,27.5,52.2,32.7,38.1,92,5.4,0.33,13,108,3,265,0,14,1.1,細懸浮微粒,普通,2017/10/30 13:00
D514T,小港,臨海工業區站,2017/10/31,04:00:00,25,449,29.8,49.5,37.7,31.7,92,5.4,0.33,13,108,3,265,0,14,1.1,細懸浮微粒,普通,2017/10/30 13:00
