台中市,按摩,泰晶殿-台中三民會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/1/25 0:00,04-22210888,台中市北區三民路三段10號
新北市,租車,小馬租車-新北板橋,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持高鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/1/26 0:00,02-29506288,新北市板橋區板新路202號
台中市,按摩,泰晶殿-台中北屯會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/1/27 0:00,04-22478777,台中市北屯區北屯路366號
台北市,租車,小馬租車-台北復興,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/1/28 0:00,02-25462888,台北市松山區復興北路499號
台南市,按摩,泰晶殿-台南中華會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/1/29 0:00,06-2695111,台南市東區中華東路三段172號
新北市,租車,小馬租車-新北樹林,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/1/30 0:00,02-26822488,新北市樹林區中山路1段205號
台北市,租車,小馬租車-台北文山,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/1/31 0:00,02-29302988,台北市文山區興隆路1段179號
桃園市,租車,小馬租車-桃園中壢,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/1 0:00,03-4626288,桃園縣中壢市中園路139號
新竹市,租車,小馬租車-新竹小馬,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/2 0:00,03-6662588,新竹市東區光復路二段124-1號
台中市,租車,小馬租車-台中小馬,各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/2/3 0:00,04-23285788,台中市西屯區台灣大道二段773號
